OrphaCode,Name,DisorderType,DisorderGroup,ICD-11,MONDO,ICD-10,OMIM,UMLS,MeSH,MedDRA,GARD,DiseaseName,AgeOfOnset,TypeOfInheritance
276238,Machado-Joseph disease type 1,Clinical subtype,Subtype of disorder,8A03.16,0017174,G11.8,109150,C0751668,,,,Machado-Joseph disease type 1,"Adult, Childhood",Autosomal dominant
3229,OBSOLETE: Deafness-peripheral neuropathy-arterial disease syndrome,Malformation syndrome,Disorder,,,,,,,,,,,
276234,Non-syndromic male infertility due to sperm motility disorder,Disease,Disorder,GB04.Y,0017173,N46,614822,C0403811,,,,Non-syndromic male infertility due to sperm motility disorder,Adult,Autosomal recessive
276223,"Mucopolysaccharidosis type 6, slowly progressing",Clinical subtype,Subtype of disorder,5C56.33,0017172,E76.2,253200,C5679780,,,,"Mucopolysaccharidosis type 6, slowly progressing",,Autosomal recessive
3228,OBSOLETE: Neurosensory deafness-pituitary dwarfism syndrome,Disease,Disorder,,,,,,,,,,,
276212,"Mucopolysaccharidosis type 6, rapidly progressing",Clinical subtype,Subtype of disorder,5C56.33,0017171,E76.2,253200,C5679781,,,,"Mucopolysaccharidosis type 6, rapidly progressing",,Autosomal recessive
276252,OBSOLETE: Xeroderma pigmentosum complementation group B,Clinical subtype,Subtype of disorder,,,,,,,,,,,
3230,Deafness-oligodontia syndrome,Malformation syndrome,Disorder,LD2H.Y,0009089,H90.3,221740,C1857333,C538049,,1698,Deafness-oligodontia syndrome,"Infancy, Neonatal",
276249,OBSOLETE: Xeroderma pigmentosum complementation group A,Clinical subtype,Subtype of disorder,,,,,,,,,,,
3231,Deafness-onychodystrophy syndrome,Clinical group,Group of disorders,,,,220500,C4751208,,,,Deafness-onychodystrophy syndrome,Childhood,"Autosomal dominant, Autosomal recessive"
276244,Machado-Joseph disease type 3,Clinical subtype,Subtype of disorder,8A03.16,0017176,G11.8,109150,C0751670,,,,Machado-Joseph disease type 3,Adult,Autosomal dominant
276241,Machado-Joseph disease type 2,Clinical subtype,Subtype of disorder,8A03.16,0017175,G11.8,109150,C0751669,,,,Machado-Joseph disease type 2,Adult,Autosomal dominant
3235,Progressive deafness with stapes fixation,Malformation syndrome,Disorder,LD2H.2,0011080,H74.3,601449,C1832354,C563316,,5170,Progressive deafness with stapes fixation,Childhood,Autosomal recessive
276264,OBSOLETE: Xeroderma pigmentosum complementation group F,Clinical subtype,Subtype of disorder,,,,,,,,,,,
276261,OBSOLETE: Xeroderma pigmentosum complementation group E,Clinical subtype,Subtype of disorder,,,,,,,,,,,
3236,Conductive deafness-ptosis-skeletal anomalies syndrome,Malformation syndrome,Disorder,LD27.0Y,0009084,Q82.4,221320,C1857340,C535993,,305,Conductive deafness-ptosis-skeletal anomalies syndrome,No data available,
276258,OBSOLETE: Xeroderma pigmentosum complementation group D,Clinical subtype,Subtype of disorder,,,,,,,,,,,
3232,Deafness-ear malformation-facial palsy syndrome,Malformation syndrome,Disorder,LD2F.1Y,0007421,Q87.0,124490,C4274753,,,1684,Deafness-ear malformation-facial palsy syndrome,Neonatal,
276255,OBSOLETE: Xeroderma pigmentosum complementation group C,Clinical subtype,Subtype of disorder,,,,,,,,,,,
3233,Cochleosaccular degeneration-cataract syndrome,Malformation syndrome,Disorder,LD2H.Y,0007346,H83.8,120040,C1861512,C536432,,9418,Cochleosaccular degeneration-cataract syndrome,Adult,
3241,Deafness-craniofacial syndrome,Malformation syndrome,Disorder,LD2H.Y,0007428,Q87.0,125230,C1852278,C565118,,1686,Deafness-craniofacial syndrome,Neonatal,
276280,Hemihyperplasia-multiple lipomatosis syndrome,Malformation syndrome,Disorder,,0017177,Q87.3,,C4749904,,,,Hemihyperplasia-multiple lipomatosis syndrome,Childhood,Not applicable
276399,Familial multinodular goiter,Disease,Disorder,5A01.2,0007681,E04.2,138800,C5779622,,,,Familial multinodular goiter,Adolescent,Autosomal dominant
3239,Deafness-vitiligo-achalasia syndrome,Malformation syndrome,Disorder,LD2H.Y,0009085,Q87.8,221350,C4518568,,,1705,Deafness-vitiligo-achalasia syndrome,"Infancy, Neonatal",Autosomal recessive
276267,OBSOLETE: Xeroderma pigmentosum complementation group G,Clinical subtype,Subtype of disorder,,,,,,,,,,,
3238,Cardiospondylocarpofacial syndrome,Malformation syndrome,Disorder,LD2H.Y,0008005,Q87.8,157800,C2931461,C537269,,2362,Cardiospondylocarpofacial syndrome,All ages,Autosomal dominant
276271,NON RARE IN EUROPE: Familial dysalbuminemic hyperthyroxinemia,Biological anomaly,Disorder,,,,,,,,,,,
3237,Multiple synostoses syndrome,Malformation syndrome,Disorder,LD26.3,0017923,Q78.8,617898,C0175700,,,,Multiple synostoses syndrome,Childhood,Autosomal dominant
3246,Symphalangism with multiple anomalies of hands and feet,Malformation syndrome,Disorder,,0008510,Q74.8,185750,C1861391,C566098,,5077,Symphalangism with multiple anomalies of hands and feet,"Infancy, Neonatal",
276413,10q22.3q23.3 microdeletion syndrome,Malformation syndrome,Disorder,LD44.A0,0012830,Q93.5,612242,C4749270,,,,10q22.3q23.3 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
276402,OBSOLETE: Limbic encephalitis with caspr2 antibodies,Disease,Disorder,,,,,,,,,,,
3242,Renpenning syndrome,Malformation syndrome,Disorder,LD90.Y,0010653,Q87.5,309500,C0796135,,,9509,Renpenning syndrome,"Infancy, Neonatal",X-linked recessive
276405,Hyperbiliverdinemia,Disease,Disorder,5C90.1,0013595,K76.8,614156,C3279964,,,,Hyperbiliverdinemia,Adult,"Autosomal dominant, Autosomal recessive"
3250,Proximal symphalangism,Malformation syndrome,Disorder,LB90.Y,0008511,Q70.9,615298,C1861385,C536223,,8182,Proximal symphalangism,"Infancy, Neonatal",Autosomal dominant
3248,Isolated distal symphalangism,Morphological anomaly,Disorder,LB90.Y,0008509,Q70.9,185700,C5925003,,,5074,Isolated distal symphalangism,"Infancy, Neonatal",Autosomal dominant
276422,10q22.3q23.3 microduplication syndrome,Malformation syndrome,Disorder,LD41.90,0017180,Q92.3,,C5190512,,,,10q22.3q23.3 microduplication syndrome,"Infancy, Neonatal","Not applicable, Unknown"
276429,Hypnic headache,Disease,Disorder,8A83,0017181,G44.8,,C0752150,,10088606,10796,Hypnic headache,"Adult, Childhood, Elderly",Not applicable
276525,Familial hyperinsulinism,Category,Group of disorders,,0017182,,,C5848294,,,,,,
3255,Filippi syndrome,Malformation syndrome,Disorder,LD2F.1Y,0010092,Q87.8,272440,C0795940,C538152,10083943,62,Filippi syndrome,"Infancy, Neonatal",Autosomal recessive
276556,Hyperinsulinism due to UCP2 deficiency,Disease,Disorder,,0017183,E16.1,,C4303082,,,,Hyperinsulinism due to UCP2 deficiency,"Infancy, Neonatal",Autosomal dominant
276432,Ogden syndrome,Malformation syndrome,Disorder,,0010457,E34.8,300855,C3275447,,10082376,,Ogden syndrome,"Infancy, Neonatal","X-linked dominant, X-linked recessive"
3253,Cleft lip/palate-ectodermal dysplasia syndrome,Malformation syndrome,Disorder,LD27.0Y,0009151,Q82.4,225060,C2931488,C536726,,375,Cleft lip/palate-ectodermal dysplasia syndrome,"Infancy, Neonatal",Autosomal recessive
276435,Lower motor neuron syndrome with late-adult onset,Disease,Disorder,8B60.Y,0014025,G12.1,615048,C5191007,,,,Lower motor neuron syndrome with late-adult onset,Adult,Autosomal dominant
911,Combined immunodeficiency due to ZAP70 deficiency,Disease,Disorder,4A01.1Y,0010023,D81.8,269840,C2931299,C536722,,387,Combined immunodeficiency due to ZAP70 deficiency,Childhood,Autosomal recessive
3325,Classic heparin-induced thrombocytopenia,Disease,Disorder,3B64.12,0018048,D69.5,,C0272285,,10062506,2650,Classic heparin-induced thrombocytopenia,All ages,Not applicable
746,Mitochondrial trifunctional protein deficiency,Disease,Disorder,5C52.01,0012172,G71.3,609015,C1969443,C566945,10077949,3684,Mitochondrial trifunctional protein deficiency,"Infancy, Neonatal",Autosomal recessive
943,Malonic aciduria,Disease,Disorder,5C50.E1,0009556,E72.8,248360,C0342793,C535702,,3371,Malonic aciduria,Childhood,Autosomal recessive
621,Autosomal recessive methemoglobinemia,Disease,Disorder,,0018963,D74.0,250800,C0272087,C580280,10010543,2659,Autosomal recessive methemoglobinemia,"Infancy, Neonatal",Autosomal recessive
1002,NON RARE IN EUROPE: Cluster headache,Disease,Disorder,,,G44.0,,,,,,,,
2089,Glycogen storage disease due to hepatic glycogen synthase deficiency,Disease,Disorder,5C51.3,0009414,E74.0,240600,C4510753,,,2513,Glycogen storage disease due to hepatic glycogen synthase deficiency,Childhood,Autosomal recessive
412,Dysbetalipoproteinemia,Disease,Disorder,5C80.2,0018473,E78.2,617347,C0020479,D006952,10060751,6703,Dysbetalipoproteinemia,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Multigenic/multifactorial"
743,Severe hereditary thrombophilia due to congenital protein S deficiency,Disease,Disorder,3B61.0Y,0019144,D68.5,614514,C2584611,,,,Severe hereditary thrombophilia due to congenital protein S deficiency,"Infancy, Neonatal",Autosomal recessive
424,Familial hyperthyroidism due to mutations in TSH receptor,Disease,Disorder,5A02.Y,0012203,E05.8,609152,C4274306,,,2858,Familial hyperthyroidism due to mutations in TSH receptor,All ages,Autosomal dominant
325,Congenital factor II deficiency,Disease,Disorder,3B14.Z,0013361,D68.2,613679,C0272317,,10016076,2926,Congenital factor II deficiency,All ages,Autosomal recessive
343,Hyperimmunoglobulinemia D with periodic fever,Clinical subtype,Subtype of disorder,4A60.Y,0009849,E85.0,260920,C0398691,,10072010,2788,Hyperimmunoglobulinemia D with periodic fever,Infancy,Autosomal recessive
572,Immunodeficiency by defective expression of MHC class II,Disease,Disorder,4A01.12,0008855,D81.7,209920,C2931418,C537079,,824,Immunodeficiency by defective expression of MHC class II,"Infancy, Neonatal",Autosomal recessive
3324,Familial thrombomodulin anomalies,Disease,Disorder,3B61.0Y,0018047,D68.8,,C2931365,C536900,,5195,,,
1930,Herpes simplex virus encephalitis,Disease,Disorder,1F00.21,0012521,G05.1*,617900,C0276226,D020803,10019953,6649,Herpes simplex virus encephalitis,All ages,"Multigenic/multifactorial, Not applicable"
158,Systemic primary carnitine deficiency,Disease,Disorder,5C52.00,0008919,E71.3,212140,C0342788,C536778,,5104,Systemic primary carnitine deficiency,"Infancy, Neonatal",Autosomal recessive
202948,Syndromic microphthalmia-anophthalmia-coloboma,Category,Group of disorders,,,,,C5679782,,,,,,
202940,Anomaly of puberty or/and menstrual cycle of genetic origin,Category,Group of disorders,,,,,C5680789,,,,,,
2056,Essential fructosuria,Disease,Disorder,5C51.5Y,0009252,E74.1,229800,C0268160,C538068,10015487,,Essential fructosuria,All ages,Autosomal recessive
206436,Infantile Krabbe disease,Clinical subtype,Subtype of disorder,8A44.4,0016089,E75.2,245200,C0751273,,,,Infantile Krabbe disease,Infancy,Autosomal recessive
820,Sneddon syndrome,Disease,Disorder,4A44.6,0008436,I77.8,182410,C0282492,D018860,10053841,7664,Sneddon syndrome,Adult,"Autosomal dominant, Not applicable"
206428,Hypoxanthine-guanine phosphoribosyltransferase deficiency,Clinical group,Group of disorders,,0016088,,,C5848153,,10075774,2943,Hypoxanthine-guanine phosphoribosyltransferase deficiency,All ages,X-linked recessive
1945,Self-limited epilepsy with centrotemporal spikes,Disease,Disorder,8A61.20,0007295,G40.0,245570,C0376532,D019305,10070530,10287,Self-limited epilepsy with centrotemporal spikes,Childhood,Autosomal dominant
440,OBSOLETE: Familial hypospadias,Morphological anomaly,Disorder,,,,,,,,,,,
832,Succinyl-CoA:3-oxoacid CoA transferase deficiency,Disease,Disorder,5C52.02,0009492,E71.3,245050,C0342792,C537527,,4774,Succinyl-CoA:3-oxoacid CoA transferase deficiency,"Infancy, Neonatal",Autosomal recessive
6,3-methylcrotonyl-CoA carboxylase deficiency,Disease,Disorder,5C50.E0,0018950,E71.1,210210,C4551505,C535308,,10954,3-methylcrotonyl-CoA carboxylase deficiency,All ages,Autosomal recessive
20,3-hydroxy-3-methylglutaric aciduria,Disease,Disorder,5C50.E0,0009520,E71.1,246450,C0268601,C538324,,8387,3-hydroxy-3-methylglutaric aciduria,All ages,Autosomal recessive
714,Hemolytic anemia due to diphosphoglycerate mutase deficiency,Disease,Disorder,3A10.Y,0009113,D55.2,222800,C0272069,,,1874,Hemolytic anemia due to diphosphoglycerate mutase deficiency,Infancy,Autosomal recessive
712,Hemolytic anemia due to glucophosphate isomerase deficiency,Disease,Disorder,3A10.Y,0013275,D55.2,613470,C0272064,,,,Hemolytic anemia due to glucophosphate isomerase deficiency,"Infancy, Neonatal",Autosomal recessive
2831,"Rhizomelic dysplasia, Patterson-Lowry type",Malformation syndrome,Disorder,LD24.A,0011079,Q78.8,601438,C1832359,C537609,,4703,"Rhizomelic dysplasia, Patterson-Lowry type","Childhood, Infancy",
1129,Arachnodactyly-abnormal ossification-intellectual disability syndrome,Malformation syndrome,Disorder,,0015234,Q87.8,,C2931398,C537024,,381,Arachnodactyly-abnormal ossification-intellectual disability syndrome,"Infancy, Neonatal",Unknown
206546,Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers,Disease,Disorder,8C70.1,0016097,G71.0,,C4707359,,,,Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers,Adult,X-linked recessive
1383,Cataract-deafness-hypogonadism syndrome,Malformation syndrome,Disorder,LD2H.Y,0015325,Q87.8,,C2931269,C536626,,248,Cataract-deafness-hypogonadism syndrome,"Infancy, Neonatal",Autosomal recessive
206538,Malignant non-dysgerminomatous germ cell tumor of ovary,Disease,Disorder,2C73.Y,0016096,C56,,C5679783,,,,Malignant non-dysgerminomatous germ cell tumor of ovary,Adolescent,Unknown
206554,Fukutin-related limb-girdle muscular dystrophy R13,Disease,Disorder,8C70.41,0012699,G71.0,611588,C1969040,C566912,,,Fukutin-related limb-girdle muscular dystrophy R13,Infancy,Autosomal recessive
1849,OBSOLETE: Infundibulopelvic stenosis-multicystic kidney syndrome,Malformation syndrome,Disorder,,,,,,,,,,,
1524,Craniomicromelic syndrome,Malformation syndrome,Disorder,LD24.GY,0011253,Q87.0,602558,C1865184,C566522,,1583,Craniomicromelic syndrome,"Infancy, Neonatal",
206549,Anoctamin-5-related limb-girdle muscular dystrophy R12,Disease,Disorder,,0012652,G71.0,611307,C1969785,C566968,,,Anoctamin-5-related limb-girdle muscular dystrophy R12,"Adolescent, Adult, Childhood",Autosomal recessive
1123,Caudal appendage-deafness syndrome,Malformation syndrome,Disorder,LD2H.Y,0015233,Q87.8,,C2931593,C537713,,1163,Caudal appendage-deafness syndrome,Neonatal,
206564,POMGNT1-related limb-girdle muscular dystrophy R15,Disease,Disorder,,0013161,G71.0,613157,C3150417,,,,POMGNT1-related limb-girdle muscular dystrophy R15,"Adolescent, Childhood",Autosomal recessive
206559,POMT2-related limb-girdle muscular dystrophy R14,Disease,Disorder,,0013162,G71.0,613158,C3150418,,,,POMT2-related limb-girdle muscular dystrophy R14,Infancy,Autosomal recessive
206572,Overlap myositis,Disease,Disorder,,0016099,M33.2,,C5679784,,,,Overlap myositis,Adult,Not applicable
3263,Syngnathia-cleft palate syndrome,Malformation syndrome,Disorder,,0017981,Q18.8,,C5680792,,,5091,Syngnathia-cleft palate syndrome,"Antenatal, Neonatal",
206569,Immune-mediated necrotizing myopathy,Disease,Disorder,,0016098,G72.4,,C3267047,,,,Immune-mediated necrotizing myopathy,"Adolescent, Adult, Childhood, Elderly",Not applicable
206580,Autosomal recessive lower motor neuron disease with childhood onset,Disease,Disorder,8B61.4,0012608,G12.2,611067,C1970211,C567023,,,Autosomal recessive lower motor neuron disease with childhood onset,Childhood,Autosomal recessive
206575,Rippling muscle disease with myasthenia gravis,Disease,Disorder,8C60.Y,0016100,G70.8,,C4749335,,,,Rippling muscle disease with myasthenia gravis,,Not applicable
206443,Late-infantile/juvenile Krabbe disease,Clinical subtype,Subtype of disorder,8A44.4,0016090,E75.2,245200,C0268252,,,,Late-infantile/juvenile Krabbe disease,"Adolescent, Childhood, Infancy",Autosomal recessive
3439,Von Voss-Cherstvoy syndrome,Malformation syndrome,Disorder,,0009121,Q87.8,223340,C1857226,C565618,,1894,Von Voss-Cherstvoy syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
206448,Adult Krabbe disease,Clinical subtype,Subtype of disorder,8A44.4,0016091,E75.2,245200,C5680793,,,,Adult Krabbe disease,Adult,Autosomal recessive
206470,Cystadenoma of childhood,Disease,Disorder,,,D27,,C5679785,,,,Cystadenoma of childhood,Childhood,
1217,Spinal atrophy-ophthalmoplegia-pyramidal syndrome,Disease,Disorder,,0015250,G12.2,,C2930956,C535625,,4942,Spinal atrophy-ophthalmoplegia-pyramidal syndrome,Neonatal,
206473,OBSOLETE: Borderline epithelial tumor of ovary,Disease,Disorder,,,,,,,,,,,
2680,Hypomyelination neuropathy-arthrogryposis syndrome,Malformation syndrome,Disorder,,0017049,Q68.8,617468,C4707882,,,,Hypomyelination neuropathy-arthrogryposis syndrome,Antenatal,Autosomal recessive
206484,Gonadoblastoma,Disease,Disorder,,0002697,D39.1,424500,C0206661,D018238,,,Gonadoblastoma,Adolescent,
1681,Diprosopus,Morphological anomaly,Disorder,,0015672,Q89.4,,C0266731,,,1876,Diprosopus,Antenatal,No data available
206489,Malignant germ cell tumor of the vagina,Disease,Disorder,2C71.Y,0016094,C52,,C4749402,,,,,,
206492,Vulvovaginal rhabdomyosarcoma,Disease,Disorder,2C71.Y,,C52,,C4707823,,,,,,
1534,"OBSOLETE: Craniosynostosis-radial aplasia, Imaizumi type",Malformation syndrome,Disorder,,,,,,,,,,,
1655,Müllerian derivatives-lymphangiectasia-polydactyly syndrome,Malformation syndrome,Disorder,,0009333,Q87.8,235255,C1856159,C536478,,5430,Müllerian derivatives-lymphangiectasia-polydactyly syndrome,"Antenatal, Neonatal",Unknown
206701,Bulbospinal muscular atrophy,Category,Group of disorders,,0016113,,,C0393547,,,,,,
633,Laron syndrome,Disease,Disorder,5A61.0,0009877,E34.3,262500,C0271568,D046150,10075492,6859,Laron syndrome,"Infancy, Neonatal",Autosomal recessive
669,OBSOLETE: Otopalatodigital syndrome,Malformation syndrome,Disorder,,,,,,,,,,,
206662,Inclusion myopathy,Category,Group of disorders,,,,,C5680794,,,,,,
206659,OBSOLETE: Non-dystrophic myopathy with collagen 6 anomaly,Category,Group of disorders,,,,,,,,,,,
478,Kallmann syndrome,Clinical subtype,Subtype of disorder,5A61.2,0018800,E23.0,615271,C0162809,D017436,10053142,10771,Kallmann syndrome,"Adolescent, Childhood","Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, X-linked recessive"
206713,OBSOLETE: Distal spinal muscular atrophy,Category,Group of disorders,,,,,,,,,,,
206710,Generalized bulbospinal muscular atrophy,Clinical group,Group of disorders,,,,,C5680795,,,,,,
206707,Bulbospinal muscular atrophy of adult,Clinical group,Group of disorders,,,,,C5680796,,,,,,
822,Hereditary spherocytosis,Disease,Disorder,3A10.Y,0019350,D58.0,616649,C0037889,D013103,10019904,6639,Hereditary spherocytosis,All ages,"Autosomal dominant, Autosomal recessive"
910,Xeroderma pigmentosum,Disease,Disorder,LD27.1,0019600,Q82.1,610651,C0043346,D014983,10048220,7910,Xeroderma pigmentosum,All ages,Autosomal recessive
206704,Bulbospinal muscular atrophy of childhood,Clinical group,Group of disorders,,,,,C5680797,,,,,,
229,Familial aortic dissection,Disease,Disorder,BD50.Z,0024559,I71.0,607086,C0345050,,,1654,Familial aortic dissection,All ages,
206966,Mitochondrial myopathy,Category,Group of disorders,8C73,,G71.3,,C0162670,D017240,10027710,,,,
279,NON RARE IN EUROPE: Age-related macular degeneration,Disease,Disorder,,,,,,,,,,,
206959,Muscular glycogenosis,Clinical group,Group of disorders,,,,,C5679786,,,,,,
777,X-linked non-syndromic intellectual disability,Etiological subtype,Subtype of disorder,LD90.Y,0019181,F72,301008,C3501611,,,,X-linked non-syndromic intellectual disability,"Childhood, Infancy",X-linked recessive
206953,Muscular lipidosis,Category,Group of disorders,,,,,C0410214,C562935,,,,,
766,Hemolytic anemia due to red cell pyruvate kinase deficiency,Disease,Disorder,3A10.Y,0009950,D55.2,266200,C0340968,C564858,,7514,Hemolytic anemia due to red cell pyruvate kinase deficiency,"Infancy, Neonatal",Autosomal recessive
206979,OBSOLETE: Granulomatous myositis,Category,Group of disorders,,,,,,,,,,,
206976,Periodic paralysis,Clinical group,Group of disorders,8C74.1,0016122,G72.3,,,D010245,,,,,
411,Hyperlipoproteinemia type 1,Disease,Disorder,,,,,C0023817,,,,,,
28,Vitamin B12-responsive methylmalonic acidemia,Disease,Disorder,5C50.E0,0017214,E71.1,277410,C0342720,,,12623,Vitamin B12-responsive methylmalonic acidemia,Childhood,Autosomal recessive
206973,Congenital myotonia,Clinical group,Group of disorders,,,,,C5848362,D009224,10049841,,,,
206970,Myotonic syndrome,Category,Group of disorders,,0016120,,,C5680798,D020967,10028658,,,,
206594,Subacute inflammatory demyelinating polyneuropathy,Disease,Disorder,8C01.2,0016102,G61.8,,C0456517,,10081726,,Subacute inflammatory demyelinating polyneuropathy,All ages,
206599,Isolated asymptomatic elevation of creatine phosphokinase,Biological anomaly,Disorder,,0016103,R74.8,123320,C4751434,,,,Isolated asymptomatic elevation of creatine phosphokinase,All ages,Autosomal dominant
3206,Stüve-Wiedemann syndrome,Malformation syndrome,Disorder,LD24.C,0800043,Q78.8,601559,C0796176,C537502,,5045,Stüve-Wiedemann syndrome,"Antenatal, Neonatal",Autosomal recessive
206583,Adult polyglucosan body disease,Clinical subtype,Subtype of disorder,5C51.3,0009897,E74.0,263570,C1849722,C564878,10077946,108,Adult polyglucosan body disease,Adult,Autosomal recessive
206586,Neurolymphomatosis,Disease,Disorder,8C01.Y,0016101,G63.1,,C4553088,D000077162,,,,,
206613,Infectious disease with peripheral neuropathy,Category,Group of disorders,,,,,C1278821,,,,,,
2729,Okamoto syndrome,Malformation syndrome,Disorder,,,,,,C565736,,4064,,,
206616,OBSOLETE: Acquired metabolic neuropathy,Disease,Disorder,,,,,,,,,,,
206606,OBSOLETE: Other muscle weakness and/or chronic muscle pain,Category,Group of disorders,,,,,,,,,,,
1844,"OBSOLETE: Bone dysplasia, Azouz type",Malformation syndrome,Disorder,,,,,,,,,,,
206610,OBSOLETE: Chronic muscular fatigue and/or chronic muscle pain,Category,Group of disorders,,,,,,,,,,,
206638,Acquired skeletal muscle disease,Category,Group of disorders,,0016105,,,C5680799,,,,,,
65,Leber congenital amaurosis,Disease,Disorder,9B70,0018998,H35.5,617879,C0339527,D057130,10070667,634,Leber congenital amaurosis,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
206644,Progressive muscular dystrophy,Category,Group of disorders,,0016106,,,C4551827,,,,,,
206619,OBSOLETE: Toxic or/and iatrogenic neuropathy,Disease,Disorder,,,,,,,,,,,
206634,Genetic skeletal muscle disease,Category,Group of disorders,,,,,C5680800,,,,,,
321,Multiple osteochondromas,Disease,Disorder,LD24.20,0005508,Q78.6,600209,C0206641,,,7035,Multiple osteochondromas,Childhood,Autosomal dominant
206653,Autosomal recessive distal myopathy,Category,Group of disorders,,,,,C5680801,,,,Autosomal recessive distal myopathy,,Autosomal recessive
206656,Non-dystrophic myopathy,Category,Group of disorders,,,,,C5680802,,,,,,
206647,Myotonic dystrophy,Clinical group,Group of disorders,8C71.0,0016107,G71.1,,C0027126,D009223,10068871,10419,,,
144,Lynch syndrome,Disease,Disorder,2B90.Y,0005835,C18.1,614385,C4552100,D003123,10051981,9905,Lynch syndrome,Adult,Autosomal dominant
206650,Autosomal dominant distal myopathy,Category,Group of disorders,,0016108,,,C5680803,,,,Autosomal dominant distal myopathy,,Autosomal dominant
110,Bardet-Biedl syndrome,Disease,Disorder,5A61.0,0015229,Q87.8,617406,C0752166,D020788,10056715,6866,Bardet-Biedl syndrome,"Antenatal, Childhood, Infancy, Neonatal","Autosomal recessive, Oligogenic"
207085,Qualitative or quantitative defects of dystrophin,Category,Group of disorders,,0016147,,,C5679787,,,2031,,,
2756,OBSOLETE: Orofaciodigital syndrome type 10,Malformation syndrome,Disorder,,,,,,,,,,,
207090,Qualitative or quantitative defects of collagen 6,Category,Group of disorders,,,,,C5680804,,,,,,
3095,Atypical Rett syndrome,Disease,Disorder,LD90.Y,0017746,F84.2,312750,C2748910,C567576,,4694,Atypical Rett syndrome,Neonatal,"Autosomal dominant, X-linked dominant"
207094,Laminin subunit alpha 2-related muscular dystrophy,Category,Group of disorders,,,,,C5679788,,,,,,
2326,Kallmann syndrome-heart disease syndrome,Malformation syndrome,Disorder,,0016515,Q24.8,,C4302897,,,,Kallmann syndrome-heart disease syndrome,"Infancy, Neonatal",Autosomal recessive
207098,Qualitative or quantitative defects of integrin alpha-7,Category,Group of disorders,,,,,C5679789,,,,,,
378,NON RARE IN EUROPE: Sjögren syndrome,Disease,Disorder,,,M35.0,,,,,,,,
207067,Qualitative or quantitative defects of gamma-sarcoglycan,Category,Group of disorders,,0016143,,,C5680805,,,,,,
1130,Arachnodactyly-intellectual disability-dysmorphism syndrome,Malformation syndrome,Disorder,,0015235,Q87.8,,C4304030,,,764,Arachnodactyly-intellectual disability-dysmorphism syndrome,"Infancy, Neonatal",Unknown
207070,Qualitative or quantitative defects of delta-sarcoglycan,Category,Group of disorders,,0016144,,,C5680806,,,,,,
207073,Qualitative or quantitative defects of dysferlin,Category,Group of disorders,,0016145,,,C2931687,C537995,,2003,,,
2626,OBSOLETE: Hypopituitarism-short stature-skeletal anomalies syndrome,Malformation syndrome,Disorder,,,,,,,,,,,
207078,Qualitative or quantitative defects of caveolin-3,Category,Group of disorders,,,,,C5679790,,,,,,
3207,White matter hypoplasia-corpus callosum agenesis-intellectual disability syndrome,Malformation syndrome,Disorder,,0017918,Q87.0,,C2931292,C536701,,5560,White matter hypoplasia-corpus callosum agenesis-intellectual disability syndrome,Neonatal,
207049,Qualitative or quantitative protein defects in neuromuscular diseases,Category,Group of disorders,,0016139,,,C5680807,,,,,,
936,Succinic acidemia,Disease,Disorder,,,,600335,C1838243,,,,,,
207052,Qualitative or quantitative defects of sarcoglycan,Category,Group of disorders,,,,,C2936331,D058088,10083931,,,,
207060,Qualitative or quantitative defects of alpha-sarcoglycan,Category,Group of disorders,,0016141,,,C5680808,,,,,,
207063,Qualitative or quantitative defects of beta-sarcoglycan,Category,Group of disorders,,0016142,,,C5680809,,,,,,
2244,Hypopituitarism-microphthalmia syndrome,Malformation syndrome,Disorder,,,,,C2931361,,,,,,
207031,OBSOLETE: Rare disease with corpus callosum agenesis associated with peripheral neuropathy,Category,Group of disorders,,,,,,,,,,,
207038,Acute and subacute inflammatory demyelinating polyneuropathy,Category,Group of disorders,,,,,C5679791,,,,,,
2058,Fryns-Smeets-Thiry syndrome,Malformation syndrome,Disorder,,0023201,Q87.0,,C5680810,,,2409,Fryns-Smeets-Thiry syndrome,Childhood,
2538,Microgastria-limb reduction defect syndrome,Malformation syndrome,Disorder,LD2F.1Y,0007993,Q87.8,156810,C4303067,C537554,,3640,Microgastria-limb reduction defect syndrome,"Infancy, Neonatal",Not applicable
1192,Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome,Malformation syndrome,Disorder,LD2H.Y,0008843,I70.9,209010,C2931125,C536178,,2279,Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome,Childhood,Autosomal recessive
207046,Malignant lymphoma with peripheral neuropathy,Category,Group of disorders,,,,,C5680812,,,,,,
207021,Rare hereditary systemic disease with peripheral neuropathy,Category,Group of disorders,,,,,C5680813,,,,,,
2062,Progressive non-infectious anterior vertebral fusion,Malformation syndrome,Disorder,LD24.H,0016087,Q87.8,,C4304839,,,,Progressive non-infectious anterior vertebral fusion,Childhood,Not applicable
